date,origin,destination,vessel_class,rate_value,rate_unit,cargo_type,source_name,data_type,notes,mvp_core,is_east_coast_india,source_type_normalized,route,dataset_role
2008-04-10,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,60.0,$/mt,coking coal,Tolani Shipping / SAIL Charter Party (ITAT / Indian Kanoon),reported fixture,"SAIL charterparty fixture for 50,000 MT coking coal voyage 10/04/2008-30/05/2008 during 2008 commodity supercycle",No,Yes,reported fixture,"Queensland (Gladstone / Hay Point), Australia -> Visakhapatnam & Haldia, India",route_freight_assessment
2008-08-21,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,55.0,$/mt,coking coal,Tolani Shipping / SAIL Charter Party (ITAT / Indian Kanoon),reported fixture,"SAIL charterparty fixture for 50,000 MT coking coal voyage 21/08/2008-18/09/2008",No,Yes,reported fixture,"Queensland (Gladstone / Hay Point), Australia -> Visakhapatnam & Haldia, India",route_freight_assessment
2008-10-07,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,47.0,$/mt,coking coal,Tolani Shipping / SAIL Charter Party (ITAT / Indian Kanoon),reported fixture,"SAIL charterparty fixture for 50,000 MT coking coal voyage 07/10/2008-12/10/2008",No,Yes,reported fixture,"Queensland (Gladstone / Hay Point), Australia -> Visakhapatnam & Haldia, India",route_freight_assessment
2020-03-26,"Hay Point, Australia","Paradip, India",Panamax,8.3,$/mt,metallurgical coal,S&P Global Platts,formal assessment,"Assessment for 75,000 mt (+/- 10%) metallurgical coal cargo prior to India lockdown",Yes,Yes,formal assessment,"Hay Point, Australia -> Paradip, India",route_freight_assessment
2020-04-09,"Hay Point, Australia","Paradip, India",Panamax,9.9,$/mt,metallurgical coal,S&P Global Platts,formal assessment,"Assessment for 75,000 mt (+/- 10%) metallurgical coal; rose 19.3% as port delays priced in",Yes,Yes,formal assessment,"Hay Point, Australia -> Paradip, India",route_freight_assessment
2020-12-12,"Hay Point, Australia","Paradip, India",Panamax,15.1,$/mt,metallurgical coal,The Shipping Tribune / Platts,estimate,"Calculated from Dec 15 estimate of $14.30/mt (-$0.80/mt from Dec 12); 75,000 mt (+/- 10%) cargo",Yes,Yes,estimate,"Hay Point, Australia -> Paradip, India",route_freight_assessment
2020-12-12,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",Panamax,8.8,$/mt,thermal coal,The Shipping Tribune,estimate,"Calculated from Dec 15 estimate ($8.50/mt, -$0.30/mt from Dec 12); 75,000 mt (+/- 10%) cargo",No,Yes,estimate,"Banjarmasin (South Kalimantan), Indonesia -> Krishnapatnam, India",route_freight_assessment
2020-12-12,"East Kalimantan, Indonesia","Paradip, India",Supramax,11.6,$/mt,coal,The Shipping Tribune / Platts,estimate,"Calculated from Dec 15 assessment ($11.65/mt, +$0.05/mt from Dec 12); 55,000 mt cargo",Yes,Yes,estimate,"East Kalimantan, Indonesia -> Paradip, India",route_freight_assessment
2020-12-12,"Richards Bay, South Africa","Paradip, India",Panamax,14.9,$/mt,thermal coal,The Shipping Tribune,estimate,"Calculated from Dec 15 estimate ($14.65/mt, -$0.25/mt from Dec 12); 75,000 mt (+/- 10%) cargo",No,Yes,estimate,"Richards Bay, South Africa -> Paradip, India",route_freight_assessment
2020-12-15,"Richards Bay, South Africa","Navlakhi, India",Supramax,19.35,$/mt,coal,The Shipping Tribune,estimate,"Estimated rate for 50,000 mt coal cargo from RBCT to Navlakhi (+0.05/mt from Dec 12)",No,No,estimate,"Richards Bay, South Africa -> Navlakhi, India",route_freight_assessment
2020-12-15,"Richards Bay, South Africa","Paradip, India",Panamax,14.65,$/mt,thermal coal,The Shipping Tribune,estimate,"Estimated rate for 75,000 mt (+/- 10%) thermal coal cargo from RBCT to Paradip",No,Yes,estimate,"Richards Bay, South Africa -> Paradip, India",route_freight_assessment
2020-12-15,"East Kalimantan, Indonesia","Navlakhi, India",Supramax,12.6,$/mt,coal,The Shipping Tribune,estimate,"West Coast India delivery reference: 55,000 mt coal cargo (+$0.05/mt from Dec 12)",No,No,estimate,"East Kalimantan, Indonesia -> Navlakhi, India",route_freight_assessment
2020-12-15,"Banjarmasin (South Kalimantan), Indonesia","Dahej, India",Panamax,9.05,$/mt,thermal coal,The Shipping Tribune,estimate,"West Coast India delivery reference: 75,000 mt (+/- 10%) thermal coal cargo (-$0.40/mt from Dec 12)",No,No,estimate,"Banjarmasin (South Kalimantan), Indonesia -> Dahej, India",route_freight_assessment
2020-12-15,"East Kalimantan, Indonesia","Paradip, India",Supramax,11.65,$/mt,coal,The Shipping Tribune / Platts,estimate,"Estimated rate for 55,000 mt coal cargo from East Kalimantan to Paradip",Yes,Yes,estimate,"East Kalimantan, Indonesia -> Paradip, India",route_freight_assessment
